Tipo_Referencia;Codigo;Descripcion;Abreviado;TFA;TPFA;ID
^BANCOS Y COOP^;^4192^;^COOP. DE A. Y C. COOPINDIGENA LTDA^;^.^;0;0;250
^BANCOS Y COOP^;^4193^;^COOP. DE A. Y C EDUCADORES DE ZAMORA CHINCHIPE^;^.^;0;0;251
^BANCOS Y COOP^;^4194^;^COOPERATIVA DE AHORRO Y CREDITO LAS LAGUNAS [MIESS]^;^.^;0;0;252
^BANCOS Y COOP^;^4195^;^COOP.DE A.Y C. EL COMERCIANTE LTDA [MIES]^;^.^;0;0;253
^BANCOS Y COOP^;^4196^;^COOP. DE AHORRO Y CREDITO EDUCADORES DE EL ORO LTDA^;^.^;0;0;254
^BANCOS Y COOP^;^4197^;^COOP. DE A. Y C. EMPLEADOS BANCARIOS DEL ORO LTDA^;^.^;0;0;255
^BANCOS Y COOP^;^4198^;^COOPERATIVA DE AHORRO Y CREDITO RIOCHICO^;^.^;0;0;256
^BANCOS Y COOP^;^4199^;^COOP. DE A. Y C. LA UNION LTDA^;^.^;0;0;257
^BANCOS Y COOP^;^42^;^BANCO GENERAL RUMINAHUI^;^BGR_EC^;1;0;258
^BANCOS Y COOP^;^4200^;^COOP. DE A. Y C. SAN MARTIN DE TISALEO LTDA^;^.^;0;0;259
^BANCOS Y COOP^;^4201^;^COOP. DE A. Y C. ALLI TARPUC LTDA^;^.^;0;0;260
^BANCOS Y COOP^;^4202^;^COOP. DE AHORRO Y CREDITO SAN MIGUEL DE PALLATANGA^;^.^;0;0;261
^BANCOS Y COOP^;^4203^;^COOP. DE A. Y C. PADRE VICENTE PONCE RUBIO^;^.^;0;0;262
^BANCOS Y COOP^;^4213^;^COOP. DE A. Y C. EL TRANSPORTISTA CACET^;^.^;0;0;263
^BANCOS Y COOP^;^4216^;^COOP. DE A Y C. LUZ DEL VALLE^;^.^;0;0;264
^BANCOS Y COOP^;^4217^;^COOP. DE A Y C. ESPERANZA Y PROGRESO DEL VALLE^;^.^;0;0;265
^BANCOS Y COOP^;^4224^;^COOPERATIVA DE AHORRO Y CREDITO RUNA SHUNGO LTDA^;^.^;0;0;266
^BANCOS Y COOP^;^4227^;^BCE-TRANSFERENCIAS REMESAS^;^.^;0;0;267
^BANCOS Y COOP^;^43^;^BANCO DEL LITORAL S.A^;^.^;0;0;268
^BANCOS Y COOP^;^45^;^BANCO SUDAMERICANO^;^.^;0;0;269
^BANCOS Y COOP^;^50^;^BANCO COFIEC^;^.^;0;0;270
^BANCOS Y COOP^;^5001^;^COOP. DE A. Y C. CORDILLERA DE LOS ANDES LTDA^;^.^;0;0;271
^BANCOS Y COOP^;^5002^;^COOP. DE A. Y C. PUERTO FRANCISCO DE ORELLANA^;^.^;0;0;272
^BANCOS Y COOP^;^5003^;^COOP. DE A. Y C. CHOCO TUNGURAHUA RUNA LTDA^;^.^;0;0;273
^BANCOS Y COOP^;^5004^;^COOP. DE A. Y C. COOPARTAMOS LTDA^;^.^;0;0;274
^BANCOS Y COOP^;^5005^;^COOP. DE A. Y C. CORPORACION CENTRO LTDA^;^.^;0;0;275
^BANCOS Y COOP^;^5006^;^COOP DE A. Y C. SAN JUAN DE COTOGCHOA^;^.^;0;0;276
^BANCOS Y COOP^;^5007^;^COOP. DE A. Y C. EMPRENDEDORES COOPEMPRENDER LTDA^;^.^;0;0;277
^BANCOS Y COOP^;^5008^;^COOP. DE A. Y C. NUEVA LOJA LTDA^;^.^;0;0;278
^BANCOS Y COOP^;^5009^;^COOP. DE A. Y C. PICHNCHA LTDA^;^.^;0;0;279
^BANCOS Y COOP^;^5010^;^COOP.DE AHORRO Y CREDITO CACEC LTDA. [COTOPAXI]^;^.^;0;0;280
^BANCOS Y COOP^;^5011^;^COOP.DE A. Y C. VENCEDORES DE PICHINCHA LTDA^;^.^;0;0;281
^BANCOS Y COOP^;^5012^;^COOPERATIVA DE AHORRO Y CREDITO SAN BARTOLO LTDA^;^.^;0;0;282
^BANCOS Y COOP^;^5013^;^COOP. DE AHORRO Y CREDITO ÔEL DISCAPACITADOÔ LTDA^;^.^;0;0;283
^BANCOS Y COOP^;^5014^;^COOP. DE A. Y C. DEL EMIGRANTE ECUATORIANO Y SU FAMILIA LTDA^;^.^;0;0;284
^BANCOS Y COOP^;^5015^;^COOP. AHORRO Y CREDITO LA LIBERTAD LTDA^;^.^;0;0;285
^BANCOS Y COOP^;^5016^;^COAC CUNA DE LA NACIONALIDAD LTDA^;^.^;0;0;286
^BANCOS Y COOP^;^5017^;^COOP. DE A Y C. SERVIDORES MUNICIPALES DE CUENCA^;^.^;0;0;287
^BANCOS Y COOP^;^5018^;^COOP. DE A. Y C. SAN MARCOS^;^.^;0;0;288
^BANCOS Y COOP^;^5019^;^COOP. DE AHORRO Y CREDITO PROFUTURO LTDA^;^.^;0;0;289
^BANCOS Y COOP^;^5020^;^COOPERATIVA DE AHORRO Y CREDITO MACODES LTDA^;^.^;0;0;290
^BANCOS Y COOP^;^5021^;^COOPERATIVA DE AHORRO Y CREDITO GUACHAPALA LTDA^;^.^;0;0;291
^BANCOS Y COOP^;^5022^;^COOPERATIVA DE AHORRO Y CREDITO SANTA ISABEL LTDA^;^.^;0;0;292
^BANCOS Y COOP^;^5023^;^COOPERATIVA DE AHORRO Y CREDITO GANANSOL LTDA^;^.^;0;0;293
^BANCOS Y COOP^;^5024^;^COOPERATIVA DE AHORRO Y CREDITO DEL AZUAY^;^.^;0;0;294
^BANCOS Y COOP^;^5025^;^COAC DEL SINDICATO DE CHOFERES PROFESIONALES DEL AZUAY^;^.^;0;0;295
^BANCOS Y COOP^;^5026^;^COOPERATIVA DE AHORRO Y CREDITO DEL COLEGIO DE ARQUITECTOS DEL AZUAY^;^.^;0;0;296
^BANCOS Y COOP^;^5027^;^COOPERATIVA DE AHORRO Y CREDITO NUKANCHIK^;^.^;0;0;297
^BANCOS Y COOP^;^5028^;^COOPERATIVA DE AHORRO Y CREDITO SANTA ANA LTDA^;^.^;0;0;298
^BANCOS Y COOP^;^5029^;^COOPERATIVA DE AHORRO Y CREDITO MULTIEMPRESARIAL LTDA^;^.^;0;0;299
^BANCOS Y COOP^;^5031^;^COOP. DE A. Y C. INDIGENA SAC PELILEO^;^.^;0;0;300
^BANCOS Y COOP^;^5032^;^COOP. DE A. Y C. INTERCULTURAL TAWANTINSUYU LTDA^;^.^;0;0;301
^BANCOS Y COOP^;^5033^;^COOP. DE A. Y C. OCIPSA^;^.^;0;0;302
^BANCOS Y COOP^;^5034^;^COOP. DE A. Y C. MUSHUG CAUSAY LTDA^;^.^;0;0;303
^BANCOS Y COOP^;^5035^;^COOP. DE A. Y C. 21 DE NOVIEMBRE LTDA^;^.^;0;0;304
^BANCOS Y COOP^;^5036^;^COOP. DE A. Y C. LA FLORESTA LTDA^;^.^;0;0;305
^BANCOS Y COOP^;^5037^;^COOP. DE A. Y C. CORP. ORG. CAMPESINAS DE QUISAPINCHA COCIQ^;^.^;0;0;306
^BANCOS Y COOP^;^5038^;^COOP. DE A. Y C. MULTICULTURAL BANCO INDIGENA LTDA^;^.^;0;0;307
^BANCOS Y COOP^;^5039^;^COOP DE A. Y C. CRECER WINARI LTDA^;^.^;0;0;308
^BANCOS Y COOP^;^5040^;^COOP. DE A. Y C. BANOS DE AGUA SANTA LTDA^;^.^;0;0;309
^BANCOS Y COOP^;^5041^;^COOP. DE AHORRO Y CREDITO 1 DE JULIO^;^.^;0;0;310
^BANCOS Y COOP^;^5042^;^COOP. DE A. Y C. SUMAK NAN LTDA^;^.^;0;0;311
^BANCOS Y COOP^;^5043^;^COOPERATIVA DE AHORRO Y CREDITO CANAR LTDA^;^.^;0;0;312
^BANCOS Y COOP^;^5044^;^COOPERATIVA DE AHORRO Y CREDITO SAN ANTONIO LTDA^;^.^;0;0;313
^BANCOS Y COOP^;^5045^;^COOP. DE AHORRO Y CREDITO FUNDAR^;^.^;0;0;314
^BANCOS Y COOP^;^5046^;^COAC BUENA FE LTDA^;^.^;0;0;315
^BANCOS Y COOP^;^5047^;^COOP. AHORRO Y CREDITO METROPOLIS LTDA^;^.^;0;0;316
^BANCOS Y COOP^;^5048^;^COOP. DE AHORRO Y CREDITO EL CAFETAL^;^.^;0;0;317
^BANCOS Y COOP^;^5049^;^COOP.DE AHORRO Y CREDITO MICROEMPRESARIAL ÔSUCREÔ^;^.^;0;0;318
^BANCOS Y COOP^;^5050^;^COOP. DE A. Y C. AFROECUATORIANA DE LA PEQ. EMP. LTDA CACAEPE^;^.^;0;0;319
^BANCOS Y COOP^;^5051^;^COOPERATIVA DE AHORRO Y CREDITO JOYOCOTO LTDA^;^.^;0;0;320
^BANCOS Y COOP^;^5052^;^COOP. DE A. Y C. UNIOTAVALO LTDA^;^.^;0;0;321
^BANCOS Y COOP^;^5053^;^COOP. DE A. Y C. UNION EL EJIDO^;^.^;0;0;322
^BANCOS Y COOP^;^5054^;^COOP. DE A. Y C. GENESIS LTDA^;^.^;0;0;323
^BANCOS Y COOP^;^5055^;^COOP. DE A Y C. MARIA AUXILIADORA DE QUIROGA LTDA^;^.^;0;0;324
^BANCOS Y COOP^;^5056^;^COOP. DE A. Y C. FORTALEZA^;^.^;0;0;325
^BANCOS Y COOP^;^5057^;^COOP. DE A. Y C. PUJILI LTDA^;^.^;0;0;326
^BANCOS Y COOP^;^5058^;^COOP. DE A. Y C. CREDIL LTDA^;^.^;0;0;327
^BANCOS Y COOP^;^5059^;^COOP. DE A. Y C. COOPTOPAXI LTDA^;^.^;0;0;328
^BANCOS Y COOP^;^5060^;^COOP. DE A. Y C. ILINIZA LTDA^;^.^;0;0;329
^BANCOS Y COOP^;^5061^;^COOP. DE A. Y C. MUSHUK PAKARI LTDA^;^.^;0;0;330
^BANCOS Y COOP^;^5062^;^COOP. DE A. Y C. UNIBLOCK Y SERVICIOS LTDA^;^.^;0;0;331
^BANCOS Y COOP^;^5063^;^COOP. DE A. Y C. SAN FERNANDO LIMITADA^;^.^;0;0;332
^BANCOS Y COOP^;^5064^;^COOP. DE A. Y C. FUTURO LAMANENSE^;^.^;0;0;333
^BANCOS Y COOP^;^5065^;^COOP. DE A. Y C. SAQUISILI LTDA^;^.^;0;0;334
^BANCOS Y COOP^;^5066^;^COOP. DE A. Y C. INNOVACION ANDINA LTDA^;^.^;0;0;335
^BANCOS Y COOP^;^5067^;^COOP. DE A. Y C. MUSHUK WASI LTDA [ MIES ]^;^.^;0;0;336
^BANCOS Y COOP^;^5068^;^COOP. DE AHORRO Y CREDITO SARAGUROS^;^.^;0;0;337
^BANCOS Y COOP^;^5069^;^COOPERATIVA DE AHORRO Y CREDITO ÔINTI WASIÔ LTDA. [MIES]^;^.^;0;0;338
^BANCOS Y COOP^;^5070^;^COOPERATIVA DE AHORRO Y CREDITO CASA FACIL LTDA^;^.^;0;0;339
^BANCOS Y COOP^;^5071^;^COOPERATIVA DE AHORRO Y CREDITO SOLIDARIA LTDA^;^.^;0;0;340
^BANCOS Y COOP^;^5072^;^COOPERATIVA DE AHORRO Y CREDITO ECONOMIA DEL SUR ÔECOSURÔ^;^.^;0;0;341
^BANCOS Y COOP^;^5073^;^COOPERATIVA DE AHORRO Y CREDITO MIGRANTES Y EMPRENDEDORES^;^.^;0;0;342
^BANCOS Y COOP^;^5074^;^COOPERATIVA DE AHORRO Y CREDITO SAN SEBASTIAN^;^.^;0;0;343
^BANCOS Y COOP^;^5075^;^COOP. DE A. Y C. DEL SINDICATO DE CHOFERES PROFESIONALES DE LOJA^;^.^;0;0;344
^BANCOS Y COOP^;^5077^;^COOPERATIVA DE AHORRO Y CREDITO SOCIO AMIGO^;^.^;0;0;345
^BANCOS Y COOP^;^5078^;^COOP. DE A. Y C. INDIGENAS GALAPAGOS LTDA^;^.^;0;0;346
^BANCOS Y COOP^;^5079^;^COOPERATIVA DE AHORRO Y CREDITO LA BENEFICA LTDA^;^.^;0;0;347
^BANCOS Y COOP^;^5080^;^COOPERATIVA DE AHORRO Y CREDITO SAN ISIDRO LTDA^;^.^;0;0;348
^BANCOS Y COOP^;^5081^;^COOP.DE AHORRO Y CREDITO ABDON CALDERON LTDA^;^.^;0;0;349
^BANCOS Y COOP^;^5082^;^COOP. A Y C CAMARA DE COMERCIO CANTON -EL CARMEN LTDA^;^.^;0;0;350
^BANCOS Y COOP^;^5083^;^COOP.DE AHORRO Y CREDITO AGROPRODUCTIVA MANABI LTDA^;^.^;0;0;351
^BANCOS Y COOP^;^5084^;^COOP. DE AHORRO Y CRED. LA INMACULADA DE SAN PLACIDO LTDA^;^.^;0;0;352
^BANCOS Y COOP^;^5085^;^COOP. AHORRO Y CREDITO CACPE MANABI^;^.^;0;0;353
^BANCOS Y COOP^;^5086^;^COOP.AHORRO Y CREDITO MAGISTERIO MANABITA LIMITADA^;^.^;0;0;354
^BANCOS Y COOP^;^5087^;^COAC TIENDA DE DINERO LTDA^;^.^;0;0;355
^BANCOS Y COOP^;^5088^;^COOP.A.Y C. SANTA MARIA DE LA MANGA DEL CURA LTDA^;^.^;0;0;356
^BANCOS Y COOP^;^5089^;^COOP. DE A. Y C. SOL DE LOS ANDES LTDA^;^.^;0;0;357
^BANCOS Y COOP^;^5090^;^COOP. DE A.Y C. PRODUC. AHORRO INVERS. SERVICIO P.A.I.S. LTDA^;^.^;0;0;358
^BANCOS Y COOP^;^5091^;^COOP. DE A. Y C. FRANDESC LTDA^;^.^;0;0;359
^BANCOS Y COOP^;^5092^;^COOP. DE A. Y C. NUKA LLAKTA LTDA^;^.^;0;0;360
^BANCOS Y COOP^;^5093^;^COOP. DE A Y C. CAMARA DE COMERCIO RIOBAMBA^;^.^;0;0;361
^BANCOS Y COOP^;^5094^;^COOP. DE A. Y C. BASHALAN LTDA^;^.^;0;0;362
^BANCOS Y COOP^;^5095^;^COOP. DE A. Y C. CAMARA DE COMERCIO SANTO DOMINGO^;^.^;0;0;363
^BANCOS Y COOP^;^59^;^BANCO SOLIDARIO^;^.^;0;0;364
^BANCOS Y COOP^;^60^;^BANCO PROCREDIT S.A^;^.^;0;0;365
^BANCOS Y COOP^;^61^;^BANCO CAPITAL S.A^;^.^;0;0;366
^BANCOS Y COOP^;^66^;^BANECUADOR B.P.^;^.^;0;0;367
^BANCOS Y COOP^;^82^;^FINANCIERA - FINANCOOP^;^.^;0;0;368
^PARENTESCO^;^98^;^Garante^;^.^;0;0;369
^PARENTESCO^;^99^;^Otro^;^.^;0;0;370
^BANCOS Y COOP^;^9987^;^COOP. ÔCALCETAÔ LTDA^;^.^;0;0;371
^BANCOS Y COOP^;^9988^;^COOPERATIVA DE AHORRO Y CREDITO MINGA LTDA^;^.^;0;0;372
^BANCOS Y COOP^;^9989^;^COOP. AHORRO Y CREDITO ACCION RURAL^;^.^;0;0;373
^BANCOS Y COOP^;^9995^;^COOP. AHORRO Y CREDITO 15 DE ABRIL LTDA^;^.^;0;0;374
^BANCOS Y COOP^;^9997^;^COOP. DE AHORRO Y CREDITO POLICIA NACIONAL LTDA^;^.^;0;0;375
^BANCOS Y COOP^;^999994^;^RECAUDACION POR EXCEL^;^POREXCEL^;0;1;376
^BANCOS Y COOP^;^999995^;^SUBIR FARMACIAS^;^FARMACIAS^;0;1;377
^BANCOS Y COOP^;^999996^;^COBROS POR TARJETAS [INTERNACIONAL]^;^TARJETAS^;0;1;378
^BANCOS Y COOP^;^999997^;^OTROS BANCOS [INTERNACIONAL]^;^OTROSBANCOS^;0;1;379
^BANCOS Y COOP^;^999998^;^ABONOS AUTOATIZADOS ^;^AUTOMATICOS^;1;0;380
^BANCOS Y COOP^;^999999^;^BANCO DEL PACIFICO INTERMATICO^;^INTERMATICO^;1;0;381
^ESTADO EMPRESA^;^BLOQ^;^Bloqueo definitivo^;^.^;0;0;382
^IDENTIFICACION^;^C^;^Cedula de Identidad^;^.^;0;0;383
^ESTADO EMPRESA^;^DBFULL^;^Su Base de Datos esta a punto de colapsar^;^.^;0;0;384
^ESTADO EMPRESA^;^DBMANT^;^Su Base de Datos Necesita Mantenimiento^;^.^;0;0;385
^IDENTIFICACION^;^F^;^Consumidor Final^;^.^;0;0;386
^SEXO^;^F^;^Femenino^;^.^;0;0;387
^SEXO^;^M^;^Masculino^;^.^;0;0;388
^ESTADO EMPRESA^;^MAS360^;^Cartera Vencida por mas 360^;^.^;0;0;389
^APLICA CONVENIO^;^NA^;^No aplica^;^.^;0;0;390
^APLICA CONVENIO^;^NO^;^Sin convenio^;^.^;0;0;391
^ESTADO EMPRESA^;^OK^;^Empresa al Dia^;^.^;0;0;392
^ESTADO EMPRESA^;^OKONLY^;^Empresa al dia solo lectura^;^.^;0;0;393
^ESTADO EMPRESA^;^ONLY^;^Empresa de Solo Lectura^;^.^;0;0;394
^IDENTIFICACION^;^P^;^Pasaporte^;^.^;0;0;395
^ESTADO EMPRESA^;^PAGO^;^Falta de Pago^;^.^;0;0;396
^ESTADO EMPRESA^;^PRUEBA^;^Empresa a prueba por 45 dias^;^.^;0;0;397
^IDENTIFICACION^;^R^;^Registro Unico Contribuyente^;^.^;0;0;398
^ESTADO EMPRESA^;^RENOV^;^Su contrato esta por vencer^;^.^;0;0;399
^APLICA CONVENIO^;^SI^;^Con convenio^;^.^;0;0;400
^ESTADO EMPRESA^;^VEN180^;^Cartera Vencida por 180^;^.^;0;0;401
^ESTADO EMPRESA^;^VEN30^;^Cartera Vencida por 30^;^.^;0;0;402
^ESTADO EMPRESA^;^VEN360^;^Cartera Vencida por 360^;^.^;0;0;403
^ESTADO EMPRESA^;^VEN60^;^Cartera Vencida por 60^;^.^;0;0;404
^ESTADO EMPRESA^;^VEN90^;^Cartera Vencida por 90^;^.^;0;0;405
^ESTADO EMPRESA^;^VRENOV^;^Su contrato esta vencido^;^.^;0;0;406
