Periodo;Item;TC;Serie;Autorizacion;Fecha_Inicio;Fecha_Final;Formato_Factura;Largo;Ancho;Espacios;Pos_Factura;Fact_Pag;Pos_Y_Fact;Nombre_Establecimiento;Direccion_Establecimiento;Telefono_Estab;Logo_Tipo_Estab;Tipo_Impresion;Cod_CxC;Concepto;X;ID
^.^;^998^;^GR^;^001003^;^0702164179001^;^Jan  1 2023 12:00AM^;^Jan  1 2024 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^Empresa xyz^;^direccion de empresa xyz^;^.^;^.^;0;^GRE001003^;^GR001003^;^.^;105
^.^;^998^;^GR^;^001007^;^11277820299^;^Dec 31 2019 12:00AM^;^Dec 31 2020 12:00AM^;^NINGUNO^;9.3999996;10.4;0.0;10.5;1;0.02;^.^;^.^;^.^;^.^;0;^GR001002^;^LIQUIDACION DE COMPRAS C.E. p^;^.^;106
^.^;^998^;^LC^;^009009^;^1722214507^;^Sep 23 2022 12:00AM^;^Sep 23 2022 12:00AM^;^.^;0.0;0.0;1.0;1.0;0;1.0;^JAV^;^.^;^000000000^;^.^;0;^17222145^;^javo^;^.^;107
^.^;^998^;^NC^;^001005^;^1791851617001^;^Apr 20 2019 12:00AM^;^Apr 20 2020 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^NC001005^;^S001005^;^.^;108
^.^;^998^;^NV^;^008001^;^1722214508^;^Jan  1 2022 12:00AM^;^Dec 31 2023 12:00AM^;^^;0.0;0.0;1.0;1.0;0;10.0;^ddd^;^.^;^.^;^.^;0;^S001003^;^001002^;^.^;109
^.^;^998^;^NV^;^008007^;^1722214508^;^Jan  1 2022 12:00AM^;^Dec 31 2023 12:00AM^;^^;0.0;0.0;1.0;1.0;0;10.0;^ddd^;^.^;^.^;^.^;0;^S001003^;^javier^;^.^;110
^.^;^998^;^NV^;^008008^;^1722214508^;^Jan  1 2022 12:00AM^;^Dec 31 2023 12:00AM^;^^;0.0;0.0;1.0;1.0;0;10.0;^ddd^;^.^;^.^;^.^;0;^S001003^;^javier^;^.^;111
^31/07/2011^;^998^;^FA^;^001001^;^1109442042^;^Jul  1 2011 12:00AM^;^Jul 18 2011 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRO^;^.^;^.^;112
^31/07/2011^;^998^;^FA^;^001001^;^0123456789^;^Jan  9 2007 12:00AM^;^Jul  1 2010 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRFM^;^.^;^.^;113
^31/07/2011^;^998^;^FA^;^001001^;^0123456789^;^Jan  3 2007 12:00AM^;^Jun  1 2011 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRO^;^.^;^.^;114
