Periodo;Item;Grupo_Rol;Cta_Sueldo;Cta_Vacacion;Cta_Quincena;Cta_Horas_Ext;Cta_Ext_Conyugue_P;Cta_Antiguedad;Cta_Diferencia;Cta_IESS_Patronal;Cta_IESS_Personal;Cta_Aporte_Patronal_G;Cta_Decimo_Cuarto_G;Cta_Decimo_Tercer_G;Cta_Fondo_Reserva_G;Cta_Decimo_Cuarto_P;Cta_Decimo_Tercer_P;Cta_Fondo_Reserva_P;Cta_Vacaciones_G;Cta_Vacaciones_P;Cta_Utilidades_G;Cta_Utilidades_P;CodigoU;X;Fecha_Reg;ID
^31/12/2011^;^000^;^PRIM^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.04^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;59
^31/12/2011^;^000^;^PRIM^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;60
^31/12/2011^;^000^;^SEC^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.04^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;61
^31/12/2011^;^000^;^SEC^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;62
^31/12/2012^;^000^;^ADM^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.04^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;63
^31/12/2012^;^000^;^ADM^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;64
^31/12/2012^;^000^;^ADM^;^5.2.10.01^;^5.2.10.07^;^0^;^5.2.10.02^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;65
^31/12/2012^;^000^;^ENTR^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;66
^31/12/2012^;^000^;^MAN^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.04^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;67
^31/12/2012^;^000^;^MANT^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;68
^31/12/2012^;^000^;^MANT^;^5.2.10.01^;^5.2.10.07^;^0^;^5.2.10.02^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.04^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;69
^31/12/2012^;^000^;^MANT^;^5.2.10.01^;^5.2.10.07^;^0^;^5.2.10.02^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;70
^31/12/2012^;^000^;^PRIM^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.04^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;71
^31/12/2012^;^000^;^PRIM^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;72
^31/12/2012^;^000^;^PRIM^;^5.2.10.01^;^5.2.10.07^;^0^;^5.2.10.02^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;73
^31/12/2012^;^000^;^SEC^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^5.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;74
^31/12/2012^;^000^;^SEC^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^0^;^2.1.05.04^;^2.1.05.03^;^0^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;75
^31/12/2012^;^000^;^SEC^;^5.2.10.01^;^5.2.10.07^;^0^;^0^;^2.1.09.06^;^0^;^0^;^2.1.05.01^;^2.1.05.01^;^5.2.12.01^;^5.2.10.06^;^5.2.10.05^;^5.2.12.02^;^2.1.05.04^;^2.1.05.03^;^2.1.05.02^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;76
